# Time, S0, S1
2.694129943847656250e-05,2.287500000000000000e+01,2.281200000000000117e+01
1.787138462066650391e+00,2.293700000000000117e+01,2.281200000000000117e+01
3.547571420669555664e+00,2.293700000000000117e+01,2.281200000000000117e+01
5.307599306106567383e+00,2.287500000000000000e+01,2.281200000000000117e+01
7.067631959915161133e+00,2.293700000000000117e+01,2.281200000000000117e+01
8.827064514160156250e+00,2.293700000000000117e+01,2.281200000000000117e+01
1.058706879615783691e+01,2.293700000000000117e+01,2.281200000000000117e+01
1.234731459617614746e+01,2.293700000000000117e+01,2.281200000000000117e+01
1.410709047317504883e+01,2.293700000000000117e+01,2.281200000000000117e+01
1.586708807945251465e+01,2.293700000000000117e+01,2.281200000000000117e+01
1.762702417373657227e+01,2.287500000000000000e+01,2.281200000000000117e+01
1.938711357116699219e+01,2.293700000000000117e+01,2.281200000000000117e+01
2.114712333679199219e+01,2.287500000000000000e+01,2.281200000000000117e+01
2.290703511238098145e+01,2.293700000000000117e+01,2.281200000000000117e+01
2.466710901260375977e+01,2.293700000000000117e+01,2.281200000000000117e+01
2.642709302902221680e+01,2.293700000000000117e+01,2.281200000000000117e+01
2.818701934814453125e+01,2.287500000000000000e+01,2.281200000000000117e+01
2.994709849357604980e+01,2.287500000000000000e+01,2.281200000000000117e+01
3.170711231231689453e+01,2.287500000000000000e+01,2.281200000000000117e+01
3.346699595451354980e+01,2.293700000000000117e+01,2.281200000000000117e+01
3.522706079483032227e+01,2.293700000000000117e+01,2.281200000000000117e+01
3.698713946342468262e+01,2.293700000000000117e+01,2.281200000000000117e+01
3.874707961082458496e+01,2.293700000000000117e+01,2.281200000000000117e+01
4.050706839561462402e+01,2.293700000000000117e+01,2.281200000000000117e+01
4.226708483695983887e+01,2.293700000000000117e+01,2.281200000000000117e+01
4.402705144882202148e+01,2.293700000000000117e+01,2.281200000000000117e+01
4.578706598281860352e+01,2.293700000000000117e+01,2.281200000000000117e+01
4.754714918136596680e+01,2.293700000000000117e+01,2.281200000000000117e+01
4.930722522735595703e+01,2.293700000000000117e+01,2.281200000000000117e+01
5.106710481643676758e+01,2.293700000000000117e+01,2.281200000000000117e+01
5.282706522941589355e+01,2.293700000000000117e+01,2.281200000000000117e+01
5.458760333061218262e+01,2.293700000000000117e+01,2.281200000000000117e+01
5.634708547592163086e+01,2.293700000000000117e+01,2.281200000000000117e+01
5.810699319839477539e+01,2.293700000000000117e+01,2.281200000000000117e+01
5.986703443527221680e+01,2.293700000000000117e+01,2.281200000000000117e+01
6.162706255912780762e+01,2.293700000000000117e+01,2.281200000000000117e+01
6.338705015182495117e+01,2.293700000000000117e+01,2.281200000000000117e+01
6.514710593223571777e+01,2.293700000000000117e+01,2.281200000000000117e+01
6.690710949897766113e+01,2.293700000000000117e+01,2.281200000000000117e+01
6.866708493232727051e+01,2.293700000000000117e+01,2.281200000000000117e+01
7.042705965042114258e+01,2.293700000000000117e+01,2.281200000000000117e+01
7.218705320358276367e+01,2.293700000000000117e+01,2.281200000000000117e+01
7.394703912734985352e+01,2.293700000000000117e+01,2.281200000000000117e+01
7.570705795288085938e+01,2.293700000000000117e+01,2.281200000000000117e+01
7.746699714660644531e+01,2.293700000000000117e+01,2.281200000000000117e+01
7.922699189186096191e+01,2.293700000000000117e+01,2.281200000000000117e+01
8.102696728706359863e+01,2.293700000000000117e+01,2.281200000000000117e+01
8.274709892272949219e+01,2.293700000000000117e+01,2.281200000000000117e+01
8.450700974464416504e+01,2.293700000000000117e+01,2.281200000000000117e+01
8.626708316802978516e+01,2.293700000000000117e+01,2.281200000000000117e+01
8.802704405784606934e+01,2.293700000000000117e+01,2.281200000000000117e+01
8.978709292411804199e+01,2.293700000000000117e+01,2.281200000000000117e+01
9.154698753356933594e+01,2.293700000000000117e+01,2.281200000000000117e+01
9.330698180198669434e+01,2.293700000000000117e+01,2.281200000000000117e+01
9.506709289550781250e+01,2.293700000000000117e+01,2.281200000000000117e+01
